1,5408,3
3,5409,2
4,5403,0
5,5415,0
6,5416,2
7,5407,3
8,5419,37
9,5112,2
10,5323,4
11,5332,2
12,5332,1
13,5226,18
15,5414,4
28,5225,7
32,5329,4
33,5330,6
34,5328,2
35,5230,6
36,5331,2
37,5231,4
38,5327,10
39,5325,1
40,5336,4
41,5227,7
42,5335,2
43,5229,5
44,5334,15
45,5337,2
46,5232,2
47,5228,14
48,5326,3
49,6674,3
50,6628,18
51,6622,77
52,6638,18
53,6654,18
54,6655,17
55,6653,45
56,6620,18
57,6547,3
58,6548,3
63,5171,39
64,5339,3
70,6674,0
72,6644,7
75,6641,28
76,6632,18
77,6645,7
78,6623,38
79,6646,49
80,6652,61
81,7073,1
82,6664,7
83,6665,71
100,6625,43
101,6636,23
102,6640,54
103,6630,13
104,6647,10
105,6651,22
106,6637,20
107,6627,56
125,6642,39
126,6659,24
127,6634,32
128,7074,205
129,6657,3
130,6658,51
131,6660,39
132,6684,17
150,7120,1147
151,7121,84
152,7116,739
153,7125,805
154,7114,1662
155,7123,600
156,7124,233
157,7115,0
175,7122,1375
176,7119,345
177,7175,142
178,7126,0
179,7127,289
180,7113,790
181,16002,382
184,7130,246
185,7132,270
186,7135,155
187,7136,255
188,7134,310
189,7131,195
190,7137,0
191,7133,250
200,5327,0
201,5326,18
203,5409,10
204,5225,18
207,5328,15
208,5325,10
209,5408,10
210,5230,10
211,5407,0
213,5228,25
216,5415,0
217,5331,18
218,5339,0
219,6655,0
233,5336,0
250,9200,2
251,19201,2
252,19202,8
275,5334,2
